UserID,UserHandle,UserName,UniqueUserID,AvatarHash,Democrat,Gerbage,Putaran,Notes
217,mesambria,mesambria,,,,1,,
1089778,jesus_saves,jesus_saves,,,,1,,
1135077,tarashkov,tarashkov,,,,1,,
129456,danvan,danvan,,,1,,,
1146754,aetoh,aetoh,,,,,1,
1006034,K2consultbg,K2doors,,,,,1,
648030,natkatypata,Натка Тъпа Патка,1,,,1,,Куркетна от катуна край Плевен|Акалнт от Тайпе
9305,selqnin,selqnin,,,,1,,
673743,sob07673743,Просто Ступи,2,,1,,,Ступи|Акалнт от Тайпе
1088350,jzr441088349,The Polite Moose,3,,,1,,Хай Буй
164249,g_t,Alarmstufe Rot,,,,1,,
508176,dejmos,dejmos,,,,,1,
526549,eco50526549,Манчо,,,,1,1,
498624,4ort,4ort,,,,1,,
163798,emil_,emil,,,,1,,
637783,dermoedov,Соломон Дермоедов,,,,,,дедо Емо|прост льохман
699032,diq55699032,Преkрояваме Парцалите,,,,1,,
316861,peni_nikol.53.,Peni Nikol,,,,1,,смотано бабе
1139717,sandor_clegane,sandor_clegane,,,,1,,
238594,onemanband,onemanband,,,,,1,
1155741,esi501155741,Разочарован Октопод,4,,1,,,
1009058,NWO,Мелания Арнаудова,,,1,,,
600307,mpetbulgaria,MPetr,,,,,1,хахав дядка
473491,nik_77.,nik_77.,,,,1,,
393132,doctor.no,doctor.no,,,1,,,
39427,juliano95,Julian Mall,,,,,1,
1150025,tsyrvulan.second,tsyrvulan.second,5,,1,,,
626235,kvasimodo,kvasimodo,,,,1,,патокостроител
7684,gadfly,Стършел,,,,,1,
